Plk. Rajmunda Prchaly
S. K. Neumanna
sad Boženy Němcové
sad Československé armády
sad Jožky Jabůrkové
sad Kpt. Jaroše
sad Maxima Gorkého
U Nové šachty
U Nové školy
U Nových válcoven
U Staré elektrárny
U Staré školy
Pod Bílou hůrou
K. H. Máchy
Sídliště 1. máje
U Kulturního domu
nám. Bratranců Veverkových
Areál vodních sportů
Arnošta z Pardubic
Svaté Anežky České
Jiřího z Poděbrad
J. K. Tyla
náměstí Čs. legií
nábřeží Závodu míru
náměstí 9. května
náměstí 28. října
náměstí Dukelských hrdinů
Na Staré poště
Obětí 24. srpna
S. K. Neumanna
U Husova sboru
U Kamenné vily
U Suchého dubu
náměstí Jana Pernera
K Židovskému hřbitovu
K. H. Máchy
náměstí 17. listopadu
K. H. Máchy
Ke Starým jatkám
U Mateřské školy
nám. Čsl. armády
U Kult. domu
Za Kult. domem
U Mat. školky
náměstí Sv. Václava
U Sv. Anny
U Eše-Strážní domek
K. H. Borovského
Mikuláše z Pelhř.
Tomáše ze Štítného
U Prostředního mlýna
V. B. Juhna
F. B. Vaňka
Dr. B. Šmerala
J. A. Komenského
nám. E. Beneše
Dr. M. Horákové
nábřeží 1. máje
třída Národní svobody
Pod Portyčskými skalami
U Židovského hřbitova
U Hradišťského lesa
U Hromové jedle
U Semického kříže
U Smrkovické silnice
Důl Dobré Štěstí
F. X. Nohy
tř. 1. máje
nám. Bohuslava Kašpara
nám. 1. máje
Osvobozených politických vězňů
Jana Jakuba Ryby
náměstí Augustina Němejce
Tř. 1. máje
Jakuba Jana Ryby
K Pomníku padlých
K Starým valům
K Zelené louce
Ke Kačí louži
Ke Sv. Jiří
Ke Špitálskému lesu
Na Dlouhých záhonech
náměstí Českých bratří
náměstí Generála Píky
náměstí Karla Panušky
náměstí Milady Horákové
Pod Tyršovým sadem
Pod Všemi svatými
sady 5. května
třída Vojtěcha Rojíka
